uuid,paragraphs
8e6c917b-f39a-4352-aa1a-9db6833593a7,लरिका के नाम पंडित जी द्वारा कान मे बतावा जात है राशी कय नाम या फ़िर लडका कय चाचा लडका के कान में राशी कय नाम बतावा थीं । सब रसम पंडित जी के द्वारा कीन जात है पूजा-पाठ से लइके हर काम ।
f3377d8d-848a-4a63-8c3b-e3208fb2a19e,"जनम के बारा दिन के बाद बरही होत है जेहमे अच्छे से खाना-पीना सब बनत है पूडी-सब्जी,पनीर,रसगुल्ला मिठाई,जलेबी जेहकय जौन मन होत है तौन बनवावा थय नामकरण कय रसम भी ऐसेन होत है । जनम अउर नामकरन के रसम के समय पापा,बाबा सब खर्चा,उठावा थे उनही सब व्यवस्था करा थे ।"
6e86b6df-3202-4e13-b64a-53c68a5fefb6,जनम अउर नामकरन के रसम के समय काफी परिवार के सब सगे-सम्बन्धी इकटठा हो थेन तव काफ़ी अच्छा लागत है सब खुशी कय माहौल रहा थय । शादी से पहले लडका-लडकी एक दूसरे से मिलके एक दूसरे का पसन्द करा थेन तब शादी कय बात आगे बढा थय ।
a7ce4465-a439-448b-bd0c-bcea3413460a,लडका या लडकी खोजय के लिये सब सगे-सम्बन्धी जेहका जैसे रिश्ता समझ मा आवत है जेहके नजर मा जे रहा थय आपन लडकी-लडका के बारे मा बतावा थेन घर वालेन का फ़िर उनही के द्वारा बात आगे बढा थय । लडका-लडकी खोजय कय जिम्मेदारी घर के जे बरिश्ठ सदस्य अहै या फ़िर कोनव खास रिश्तेदार उनका दीन जात है ।
d56ccc81-c510-4098-bfb3-1a1bcf83e962,"शादी से सम्बन्धित रसम मे सगाई ,वरीक्षा,तिलक,मेंहदी,हलदी,संगीत,फ़िर शादी य़ही सब रसम होत है । शादी,बियाह या तौ अपने घर मा होत है या तौ जेहके घर मे जगह कय कमी अहय ऊ गेस्ट हाउस बुक करा थय अउर समय पय पंडित जी के द्वारा जौन तिथी निकाली जात है वोह समय मा शादी होत हय लगन मुहुरत देख के सही समय पय ।"
f6ffd436-ba3c-48e4-9376-9371cbd03b9e,"बियाह से सम्बन्धित पाँच,छ: रसम हैं सगाई,बरीक्षा,तिलक,हलदी,मेहदीं,संगीत फ़िर शादी । बियाह कय रसम एक हप्ता के अन्दर होत है और सब पण्डित जी के द्वारा बतायी गयी तिथी के हिसाब से निशिचत होत है । बियाह के रसम मा सब सगे-सम्बन्धी,घर-परिवार के लोग,गाँव के लोग सब का न्योता दीन जात है ।"
4e141147-8162-43e4-b9d1-847adbe708ab,"बियाह कय रसम जादातर पूर्व दिशा कइती मुँह कयके हॊ थय । बियाह के रसम मा द्वार-पूजा,चढाव,शादी,पाँव-पूजी,लावा-परछन,सात-फ़ेरा यही सब रसम होत है । बियाह के रसम मा खाना-पीना से सम्बन्धित सारा सामान,पूजा-पाठ से सम्बन्धित सारा समान,लडकी-लडका का देय वाला सब सामान लागा थय ।"
107aa12f-5b07-43c1-aee1-8cbd27069ad3,"बियाह कय रसम घर मा जे सबसे बडा सद्स्य हो थय लडकी के बाबा,दादी या फ़िर बडे पापा -बडी मम्मी या फ़िर केहू नही ना तव लडकी के मम्मी पापा रसम सम्पन्न करावा थी । बियाह के हर रसम मा सब अपने-अपने हिसाब से अपनी पसन्द कय खाना बनवावा थी लेकिन मायन बरुवा,अउर मठमगरा आदी जौन सब होत है रसम वोहमा कढी,बरा,पूडी-सब्जी,दाल-चावल,रोटी सब कुछ बनत है ।"
438ee485-3308-4ed4-b38a-f56a870d14c0,"बियाह के रसम कय खरचा लडकी अउर लडका के घर वाले उठावा थीं उनके मम्मी-पापा या दादी-बाबा हैं तौ वय उठावा थीं । कबो कुछ रिश्तेदार भी कुछ मदद कय दे जा थें । गाँव मा शादी जब होत है तब तिलक के बाद शादी तक गाँव कय महिला सबघर मा इकट्ठा हो थीं रात मा गाना गावा थीं जौने घर मा शादी अहय । लडकी या लडका जेहकय शादी अहय सब वही के हिसाब से गाना गावा थी। बाकी जौन रसम मायन,मठमगरा,बरुवा होत है सब मा गाना बजाना होत है ।"
2b9c829e-a63a-405c-b163-82ef66ff99b6,समाज मा जब कोनव आदमी या औरत के म्रित्यु होय जात है तब वोहका घर मे एक चारपाई पय लेटाय दीन जात है अउर वोहके पास उपला मा आग जलावा जात है अउर वह दिन घर में खाना-पीना नही बनत । जब तक की आदमी कय म्रित शरीर घर से उठाय नही लीन जात ।
ca726430-3700-4b05-9922-38999cf7f2b2,"म्रित्यु कय कुछ रसम जैसे एकादशा,बाल बनावा बाल बनब ,तेरही ई सब घरय पय होत है। कुछ पिण्डा-वुण्डा पारय वाला काम जब आदमी कय अन्तिम संस्कार हो थय तव हुँवा गंगा नदी के किनारे कीया जात है । म्रित्यु से सम्बन्धित रसम मा सबसे पहिले तव अन्तिम संस्कार कय क्रिया तौ है जौन की गंगा नदी के किनारे हो थय उसके बाद एकादशा,बाल बनाना,तेरहवीं,बरशी सब होत है येहकय उददेश्य अहय की म्रितक शरीर के आत्मा का शान्ति मिलय ।"
82db1898-12eb-4b99-aadf-4b199e6c5ad8,"म्रित्यु के रसम मा सारा रिश्तेदार सगे-सम्बन्धी,घर-परिवार अउर गाँब के लोग आस-पास के गाँव के लॊग न्योता जा थीं । म्रित्यु के रसम मा पूजा-पाठ सम्बन्धी जेत्ती रसम होत है सब पूरब दिशा कयती मुँह कयके कीन जात हैं ।"
5b30d67d-dd41-461e-b3e9-91c1d06c0e71,"म्रित्यु के रसम मा अन्तिम संस्कार करय का रहा थय तव हुंवा पय कइवय बिधी हो थय उसके बाद एकादशा म्रित आत्मा के शान्ति के लिये एकादशा पूजा-पाठ पंडित जी द्वारा करावा जा थय ,शान्ती पाठ होत है । अउर तेरह दिन तक गरुण पुराण कय पाठ होत है घर में। फ़िर तेरहवीं,बरशी य़ही सब रसम होत है ।"
c764c55c-210a-4a13-9f45-284c88fc6e2d,"बाद एकादशा जब होत है तब वोहमे पंडित जी का देय के लिये धोती-कुर्ता ई सब समान लागत है अउर पूजा-पाठ कय जेतना समान रहा थय वही सब समान लागा थय। तेरही हो थय तव तेरह ब्राहमन का खाना खियावा जा थय । तव वोहमा तेरह ब्राह्माण का देय के लिये छाता,चटाई,लॊटा,अंगौछा यही सब समान लागा थय। अन्तिम संस्कार के रसम मे जब अर्थी उठा थय तब नारियल फ़ूल सब सजावय के लिये लागा थय । वोहके बाद पिण्डा पारय के लिये उपला कण्डा अगरबत्ती ई सब समान लागत है। घी आग-वाग जलावय के लिये । वोहके ।"
71e0bbd5-da01-4230-af31-342fcad2bf89,"म्रित्यु कय रसम मरय वाले कय सबसे छोटा लडका या सबसे बडा लडका करा थय । म्रित्यु के रसम के पहिले कोनव भोज नही होत म्रित्यु के रसम के बाद एकादशा होत है वोहके बाद कच्चा भोजन होत है जेहमें कढी-चावल,पूडी,दाल बनत है वोहके बाद तेरह दिन पय तेरही कीन जात है जेहमा पूडी-सब्जी,रसगुल्ला अउर जौन-जौन मन होत है आदमी बनवावा थय ।"
69d07f14-1808-497e-bc8c-263ec9a3b232,म्रित्यु के रसम कय खर्चा म्रितक के परिवार वाले उठावा थें अउर सारी व्यवस्था परिवार के लोग करा थें । जब आदमी कय म्रित्यु होय जात है तव वोहके बाद वोहकय अर्थी जब उठा थय तव अर्थी लय जाये के बाद घर मा तुरन्त झाडू लगावा जात है अउर म्रितक कय पैर दक्षिण दिशा की तरफ़ कय के लेटावा जात है । यही लिये कहा जात है की केहू घर से बाहर अगर जात है तव तुरन्त झाडू ना लगावय का चाही अउर ना दक्षिण दिशा मा पैर कय के सोवय का चाही ।
273048b2-270e-41ce-8d54-8fe6aa8f119d,हमरे समाज मा लरिका के जनम के समय निकासन अउर नामकरण के समय निकासन के समय मा वही बैठाय के वोहके लडका के काने मा बोल दीन जात है वोहके बाद पंडित का दक्षिना दीन जात है । ज्वादातर जनम कय रसम अउर नामकरन कय रसम अंगना मा अउर दस बजे से बारा बजे के बीच मा सुबेरे होत है ।
58a41cab-6a95-4515-8337-e9c34f01dc6c,"पंडित पत्रा देख के निशिचत करा थे । गाँव कय रिश्ते दार,नाऊ पंडित । जनम अउर नामकरण के समय मा मनई पूरब दिशा मा बैठा थीं । जनम अउर नामकरण करय पंडित चौक पूरा थीं अउर लोग बच्चन का कपडा दे थीं ।"
e80dfd37-76c5-4cdd-9f90-c406518a42fd,जनम के रसम मा सूपे मा आटा रख के वही पय बुआ जौन कपडा लैके आई रहा थीं वोहका रखा जात है अउर नेछू डाला जात है अउर नामकरण के रसम मा पाने मा सोने कय चीज लैके लरका के काने मा नाम बतावा जात है ।
cbc85d28-1ff0-4aec-a2f1-4e7c484f19ba,लरका कय नामकरन पंडित जी करा थें। लरका अउर लरका के मम्मी का बैठाय के अंगना मा लरका के नामकरन कीन जात है । जनम अउर नामकरन के रसम पंडित जी करा थें । लरका के निकासन के बाद भोज होत है अउर वोहमा पूडी-सब्जी बना थय ।
22b0c195-cf01-4b98-99f3-4d7cd4c38386,जनम अउर नामकरन के रसम के समय घर वाले व्यवस्था करा थें अउर घर के मुखिया खर्चा उठावा थें । हमरे हियाँ लरका के जनम के छ:दिन बाद छठ्ठी अउर बारा दिन बाद बरही होत है वोहके बाद पंडित से बिचरवाय के निकासन होत है फ़िर पंडित से बिचरवाय के नामकरन होत है। वोहके बाद मुण्डन संस्कार वोहके लरका के एक या तीन साल बाद चुण्डन होत है ।
19c2aea3-282a-4d2c-a7e3-a609c2a7c858,हमरे समाज मा लडका अउर लडकी कय शादी के पहिले मिलब गलत माना जात है । हमरे खियाँ लडकी के घर वाले यानी की लडकी के पापा या भाई जा थीं लडका खोजय । लडका या लडकी खोजय कय जिम्मेदारी मुख्यत: उनके पापा का दीन जात है ।
e6ed137f-9a2f-4b8e-8055-8ac0c362f29c,"हमरे समाज मा मुँह देखाई,मेंहदी हरदी,जनेऊ अउर फ़िर मंडप सजाय के वोहमा पंडित के द्वारा सारी बिधी निभाई जात है । सामान्यतया माडव छाय के अउर शाम के समय शादी के रसम निभाई जात है । बिवाह से सम्बन्धित बहुत से रसम होत है लडका-लडकी के गाँठ जोड के मंडप मा फ़ेरा होत है अँगने का साक्षी मान के सात बचन ले थें। अउर फ़िर लडका-लडकी के माँग मा सिन्दूर लगावा थय । उनका मंगल सूत्र पहनावा थय । यह तरह से सारी बिधी होय के फ़िर शादी सम्पन्न होत है ।"
40a0df46-d769-4cf2-b4cb-4efde6829fc9,बियाह के रसम कय दिन अउर समय पंडित पत्रा देख के बिचार के तव निशिचित करा थें । बिवाह के रसम मा सब घर वाले न्योता जा थें अउर मुख्यत:जैसे घर कय मुखिया हैं तौ वे चले थें तव होय जा थय शादी । बिवाह के रसम मा मनई उत्तर का मुँह कयके बैठा थें ।
e33cf731-2677-48e8-8227-4c0c588305f1,"बिवाह के रसम मा मुँह देखाई,जनेव,हरदी,मेंहदी अउर सिन्दूर-दान बहुत सी रसम होत है । बियाह के रसम मा माडव छावा जात है अउर मायन होत है वोहमा अउर गुड-चावल लैके दौरी मा तलाव पय सब जा थीं अउर फ़िर बियाह मा जनेऊ,हरदी,अउर मंगलसूत्र,सिन्दूर लागा थय । बियाह कय रसम मम्मी-पापा अउर पंडित के द्वारा पूरी कीन जात है ।"
04ca7b87-484b-40bf-9cf5-62e48b6dc8b7,"बियाह के पहिले मायन होत है वोहमा बरा,दाल-चावल रोटी बना थय। अउर वोकरे बाद वियाह के बाद भोज होत है। वोहमा पूडी-सब्जी बना थय । बियाह के रसम कय व्यवस्था लडकी के घर वाले करा थें अउर लडकी के मम्मी-पापा करा थें अउर वोहके खर्चा घर के मुखिया उठावा थें ।"
56658aa0-9cac-47c1-9275-760e31664a5d,"मरे हियाँ बियाहे के बाद माडव उचारा जा थय वोहके बाद कोहबर कय पूजा हो थय जेहमा बरा,भात अउर रोटी बना थय । हमरे समाज मा म्रित्यु से सम्बन्धित श्राद्ध होत है वोहमा सबका मुण्डा कीन जात है। अउर फ़िर कच्चा खाना बना थय। वोहमा जैसे दाल,चावल,रोटी। अउर वोकरी बाद फ़िर तेरही होत है जेहमा पूडी बना थय अउर फ़िर एक साल बाद बरखी होत है ।"
0d6595f0-612a-48cc-aa9a-cb03e2077658,"सामान्यत: आम के पेडे के नीचे अउर दिन मा म्रित्यु कय रसम होत है । म्रित्यु से सम्बन्धित श्राद्ध होत है दसयें दिन वोकरी बाद फ़िर तेरह दिन पय तेरही होत है अउर फ़िर एक साल बेरवाज कीन जात है कोनव भी त्योहार नही मनावा जातय फ़िर एक साल बाद बरखी हॊ थय फ़िर उनका विदा कीन जात है जेहकय म्रित्यु भा रहा थय उनका सारा सामान दय के जैसे की चूल्हा,बरतन,सीधा सब दय के तव उनका विदा कीन जात है ।"
41ae9a6e-421f-4f8d-a16b-ac95c13431a8,म्रित्यु के रसम मा सब रिश्तेदार अउर गाँव वाले अउर सब समाज का न्योता जात है । म्रित्यु के रसम मा मनई दक्खिन का मुँह कय के बैठा थीं । म्रित्यु के रसम मा श्राद्ध कीन जात है वोहमा जे दाग देहे रहा थय ऊ आपन मुंड मुडावा थय अउर आपन पूरा गाँव वाले परिवार वाले मुंड मुडावा थें अउर फ़िर तेरा दिन पय तेरही हो थय। अउर फ़िर बरखी हो थय एक साल पय ।
5d011c95-7a4a-45a0-b427-71bee2edcaf7,"म्रित्यु के रसम मा जेहकय म्रित्यु भय रहा थय वोहका जेतना चीज पसन्द रहा थय ऊ सारा सामान दीन जा थय अउर खटिया अउर बरतन ,सीधा अउर फ़िर कपडा चप्पल ई सब दय के तव फ़िर विदा कीन जात है ।"
15ea3b21-1de7-47db-a4cd-978858a78772,"म्रित्यु के रसम जैसे की अगर केहू कय मेहरारू मरी रहय तव उनके पति करा थें अउर केहू वस केहू कय बाप खतम भा रहय तव वोहकय बडे बेटवा करा थें । म्रित्यु के सात दिन बाद श्राद्ध होत है जेहमा कच्चा खाना बना थय दाल,चावल,रोटी,फ़िर तेरही मा पूडी- सब्जी,बना थय । फ़िर बाद मा एक साल बाद बरखी होत है वोहमा भी पूडी-सब्जी बना थय ।"
5144ab99-e07b-4983-8a39-45622d5a3ffe,"म्रित्यु के रसम कय खर्चा जेहकय म्रित्यु भय रहा थय वोहके घर वाले उठावा थें अउर ई रसम पूरा परिवार मिल के करा थय । हमरे हियाँ जेहकय म्रित्यु भा रहा थय वोहका नउहाय के फ़िर वोहका सारा सजाय के जैसे कि अगर लडकी कय म्रित्यु भा रहय तव उनके रंग,सेन्दुर,मंगलसूत्र,चूडी,कंगन,पायल,बिछुआ पहिनाय अउर साडी पहिनाय के फ़िर विदा कीन जात है अउर फ़िर उनका घाटे पय लय जा थें या फ़िर गाँव मा ही दफ़नावा जा थय या तो जलाय दीन जात है अउर फ़िर दाग दीन जात है अउर फ़िर दस दीन बाद श्राद्ध होत है अउर फ़िर तेरह दिन बाद तेरही हुआ थय। अउर फ़िर एक साल बेरवाज करे के बाद फ़िर बरखी हो थय ।"
e353dd05-72db-4ab7-bf38-62a87a217b9b,"जादातर जनम कय रसम घर पय मनाई जा थय अव नामकरणव घरय पय कीन जात है लेकिन केहु-केहु आदमी जौन अहय येहका मन्दिर जैसे धार्मिक स्थानव पय कीन जात है । जनम अउर नामकरण कय रस्म मामा ,फ़ूफ़ा,चाचा,दादा अउर पूरा परिवार रहत है अउर रिस्तेदार व्यवहारिक का न्योता दीन जात है ।"
32ff2d54-4ff9-4daa-a68e-9641e3a5dc43,"जनम अउर नामकरण के रस्म के समय मनई पूरब के दिशा मा मुँह कयके बैठा थीं बाकी सब उत्तर दिशा मा मुँह मा  मुँह कय के बैठा थीं । जनम अउर नामकरण करय रसम वैदिक विधि से कीन जात है । जनम अउर नामकरण के रस्म मा हलदी ,चन्दन,रस,कलावा ,कलश,पान कय पत्ता इत्यादि बहुत सामान लागत है ।"
207b31bd-6f5d-43be-ab39-5580aab6d220,"लरिका कय नामकरण लरिका के परिवार वाले करा थीं मौके पय नामकरण पंडित जी के सामने कीन जात है । जनम अउर नामकरण कय रस्म लरिका कय माता अउर परिवार वाले करा थें । जनम अउर नामकरण के रस्म के बाद भोज कीन जात है जेहमा बरा,फ़ुल्लौरी ,उर्द,भात, पूडी-सब्जी सब बनत है ।"
39f5014b-6448-4a43-aad2-0fa0cc2a863a,जनम अउर नामकरण के रस्म के समय लरिका कय महतारी-बाप अउर घर वाले व्यवस्था करा थें अउर वई सब खर्चा उठावा थीं । पड़ित समय बतावा थीं । हमरे समाज मा लडका-लडकी गोदभराई के कार्यक्रम मा मिला थीं जेहमा एक दूसरे का देख के बातचीत करा थें पसन्द करा थीं वोकरे बादय शादी तय करा थीं ।
7ba9074e-b13c-471f-b291-730d95e522bd,हमरे हियाँ लडका के घर वाले जौन अहय लडकी देखय जा थीं लडकी पसन्द आय जात है तब वोकरे बाद लडका- लडकी के पिता आपस मा बात-चीत कय के तब शादी कय दिन तिथि रखा थीं । लडका-लडकी खोजय कय जिम्मेदारी प्रमुखत: लडकी- लडका के पिता कय रहा थय पिता के ना रहे पय वह घरे कय जे जिम्मेदार आदमी रहा थय वोहकय रहा थय ।
f8de3e48-d953-4918-ba8c-0fd439870235,"हमरे समाज मा शादी के रस्म से सम्बन्धित गोदभराई,वरिक्षा ,तिलक वोकरे बाद गौना तक कय रस्म निभाई जात है । सामान्यत: लडकी के घरे पय रात के समय बियाह कय रस्म होत है । मुख्यत: बियाहे मा सिन्दूरदान होत है जौन रात मा कीन जात है एकरे अलावा शादी मा दुआरे कय चार ,पवपूजी ,खिचडी अउर तमाम अलग -अलग रस्म निभाई जात है ।"
50b456b5-6419-4a7f-bcce-669a7db452a2,"बिवाह कय रस्म कय दिन अउर समय पंडित जी से बिचरवाय के लग्न मुहुरत के हिसाब से निशिचित किन जात है । बिवाह के रस्म मा लडकी-लडका दुनौ पक्ष कै घर-परिवार ,नात-रिश्तेदार सबका न्योता दीन जात है अउर सब का रस्म मा शामिल हुआ थीं ।"
16c6a886-ec73-44e3-bfbf-d0f58ef309e9,बियाह के रसम मा बर पूरब की तरफ़ मुँह कय के बैठा थय बाकी आम आदमी न्योता जे आवा हैं वे चहय जौनी तरफ़ मुँह कय के बैठय कोनव मुख्य दिशा नही ना । बियाह के रसम कय बिधी सनातन धरम वैदिक बिधि से करावा जा थय ।
5946a2af-38b0-4edd-9452-116c4402b7c2,"बियाह के रसम मा हलदी चन्दन धूप-दीप ,नव-वेद,सिन्दूर ,रोली कलश सामान लागा थय । बिवाह के रसम मा बर-कन्या,नाई ,पंडित मुख्य रुप से शामिल रहा थीं, पंडित के निर्देशन मा बर -कन्या के बीच ई रस्म कीन जात है ।"
460a1c0b-0c7e-40c8-aafa-d5e5870ac968,"बियाह के पहले तिलक मा भोज कीन जात है अउर बियाहे के बाद प्रीतभोज कीन जात है येहमा पूडी-सब्जी खीर,मिठाई ,पकवान बनावा जात है अउर येहका भोज के तौर पय खावावा जात है । बियाह के रसम कय व्यवस्था बर – कन्या दुइनौ कय परिवार उठावा थै अउर खर्चा दुनौ कय परिवार उठावा थै ।"
a985e955-1943-4347-b9f3-cb44dd69ad7d,"हमरे समाज मा म्रित्यु से सम्बन्धित अन्तिम संस्कार कीन जात थै वोकरे बाद श्राध्द होत है तेरही भोज होत है वार्षिकी कीन जात । सामान्यत: मरय वाले के मूल आवास पय म्रित्यु कय सारा रसम कीन जात है । म्रित्यु से सम्बन्धित चार रस्म होत है अग्निदान संस्कार,श्राध्द ,तेरही , वार्षिकी । इनकय उद्देश्य म्रितक कि आत्मा का शान्ति पहुँचाउब रहा थय ।"
7c178fc4-e487-42e1-afe8-34bab830ac80,"म्रित्यु के रसम मा घर परिवार ,नात -रिश्तेदार ,हेती व्यवहारिक सबकय निमन्त्रण रहा थय । म्रित्यु कय रस्म निभावय वाला आदमी म्रितक के आत्मा के शान्ती के बरे दक्षिण की तरफ़ मुँह कयके सारी रस्म पूरी करा थय जैसे म्रितक के आत्मा के शान्ती मिलय । म्रित्यु कय रसम सनातन विधी द्वारा मनाई जात है ।"
01d3e7ea-19e6-4a98-943b-d1d368203796,"म्रित्यु के रसम मा कफ़न ,लकडी,कपूर लोटा,छुरी सामान लागत है । म्रित्यु कय रसम उहय पूरी कय सका थय जेहकय म्रितक कय खून कय सम्बन्ध रहय । म्रित्यु के रसम मा तेरही कय भोज कीन जात है जेहमा पूडी-सब्जी ,अचार,माठा ,चिनी रहा थय ।"
1f03c1c2-0c88-4061-b832-bdad08471c0c,म्रित्यु के रसम खर्चा अव व्यवस्था मरय वाले के घर वाले उठावा थें वई व्यवस्था करा थें । नाही । जब जनम हो थय तव जादातर कोनव रसम नही होत थय जौन रसम हो थय सारी सुबे-सुबे हो थय अव जब नामकरन हो थय तव नववें दिन हो थय अव घरेन पय हो थय ।
fd9f4971-467a-4b89-8c8a-2b7b88eb3b48,जब जनम हो थय तव वोहमा फ़ूले कय टाठी बजाई जा थय वोहकय मतलब की जैसे खुशहाली आवय के बरे वोहके बाद जनम के छठयें दिन छठठी वगैरह हो थय वोहके बाद नवयें दिन निकासन हो थय जौने मा नामकरण कीन जा थय ।
512c4966-b901-42a2-add2-f94bc04e5696,जब जनम हो थय बच्चा कय तव वोहका राशी बिचारी जा थय वोहके हिसाब से की कौने समय मा पैदा भा है वही हिसाब से वोहकय कुण्डली बना थय। वही हिसाब से कुण्डली के हिसाब से मुहुर्त तय कीन जा थय वोहके नामकरण कय अव छठठी कय. ।
