uuid,paragraphs
e8e41347-f459-4a59-b254-c2964ccb1f16,क्रीया करम के पहिले बिना हल्दी वाला एकदम सादा खाना खाइल जाला। लेकिन जब क्रीया करम होजायला त ओकरा बाद हल्दी डाल के खाना बनेला ओर उ इसांन खायलन। मुअला पे लोग दखिन दिशा मे बइठेलन। लइका के जमला के दिन पण्डि जी जौन जौन पूजा खातिर समान लिखले रहेलन उ उ समान उपल्बद्ध रहेला। उ पूजा के समान मे बहुत सारा चीज होयला जइसे रक्छा सूत रोड़ी गुलाल अबीर हल्दी सुपाड़ी पान के पत्ता हवन के सामग्री दिया तेल बाती आदी।
c8e2745f-6995-499f-805c-4efff7038d53,बियाह के दिन और समय लइका और लइकी पक्छ के लोग पणडी जी से मिलकर के पतरा देख के सुभ मुहुरत निकलवा के करेलन। किरिया के काम मे धुप बत्ती नया कपड़ा पचाती लकड़ी घीउ पुजा के समान आदी लागेला।
450dd7ce-7470-4f33-881b-6e5452fd337d,लइका के जामे के दिन अउर ओकर नाम रखे के दिन छठियार के हि दिन होला। मने के जनम लेवे के दिन से छठ्वा दिन गिनल जाला। तऽ कुल मिला के छौ गो दिन एमे रहेला जे मे लोग बिचार करेला के का नाम रखल जाऔ बच्चा के। जे मे लोग बिचार करेला कि का नाम रखल जाऔ बच्चा के।
2095bd6f-4f8c-4632-93b9-7fc0cae43ac9,लइका के जमला ओरी नाम धरावे के काम घर के बूढ़ पुरनिया लोग जेमे दादी नानी इ सब करेला धरेला लोग। एमे ईश्ट देवता के याद कइल जाला पुजा विधी के पालन कइल जाला। ओरी लोक गीत आपन गावेला लोग। मुअला पे किरिया करम के पहिले चाहे बाद मे। दहि चुड़ा बुनिया मिठाई सबजी खियावल जाला।
7d4d4bf4-cc91-479a-941e-1b2cc34bc069,हमार बिरादरी मे केहु के मुअला पे इगारे दिन ले चले वाला किरिया करम कइल जाला। बियाह अधिकांश शुभ मुहुरत मे होला। ओरी जे दिन पण्डि जी तय करेलन दिनांक पतरी देख के ओहि दिन होला। हा मिलेला सन। लेकिन पहिलका जमाना मे अइसनका ना रहे। अब आज मिलेला लोग।
1e3da21a-b973-479d-b6f3-6eb638be3cb0,ओरी जानकारी बाटे जैसे कि मुखाग्नी बेटा हि देला अधिकांश जगह देखल जाय तऽ। किरिया करम के काम आर्य समाज से भी कर दिहल जाला जे मे तीन चार दिन मे इ सब निपट जाला। अस्थी विसर्जन ला लोग तिरवेनी चाहे गंगा नदी मे लोग जाला बिसर्जन करे। छौ महिना चाहे साल भर मे बरखी याने पुजा पाठ कर के आगे के घर के सुभ काम सुरु करल जाला।
2fb2b7b5-50cd-4b98-994f-e6d0e9112205,मुअला पे दखिन दिसा मे लोग बइठेला। बियाह के दिन अऽ समय पण्डि जी तय करेलन पतरी दिनांक देख के। मुअला पर तीन चार परकार के किरिया करम के मान्यता बाटे। जे वेक्ती मर जाला ओकरा मन के सान्ती मिले इहे सब लोगन के इचछा रहेला चाहे इ कहली कि इहे रीत चलल आवऽ ता जमाना से। ओहनी के नाम पहिलका दाह संस्कार होला दुसरका नहाय धोआये के दिन होला एकरे बीच मे लोग फल ओल खाके इहे सब रहेला। फिर तिसरका मे कहल जाला दस कातर जोन दसवा दिन पे होला जे मे केस दाढ़ी इ सब कटाला मर्दाना लोग के। ओकरा बाद चौथा मे तेेरहंवा दिन होला जेकरा के काम कहलाला एदिन दान पुण्य इ सब होला पुजा पाठ भी होला ब्राहमण लोग के भोजन ओजन कराईल जाला।
c8c8db34-58f7-4118-9c26-a3a80d852019,बियाह होखे के पहिले जब बारात पहुंचे ला तऽ जनमासा लआगेला। ओहिं मे नास्ता पानी चलेला फिर पण्डाल मे जब बराती लोग पहुंचेला त हुआं खाये पिये के बेवस्था रहेला। अ खाना मे जइसे कि सादा खाना बनल रहेला त ओ मे सबजी भात पुड़ी दाल मिठाई इ सब रहेला। ओरी मासा हार मे देखल जाओ तो मछरी ना तो मुर्गा ओ बनेला कहिंयो खसी के मासो बनेला।
6e591720-adad-4d8e-b976-2832b0e704dc,फूल फल मिठाई पुजा पाठ के समान पोथी पतरी इहे सब समान चीज के जरूअत होला। मसान घाट पे ओरी सन्धया बेरा बितला से पहिले किरिया करम कइल जाला। लोगन के आंगन मे बइठावल जाला। अउरी पुरब दिसा मे। लइका के जमला के बाद नाम रखेला तक छौ गो दिन होखेला। उ कुल दिन के नाम हऽ जइसे कि एकम द्वतिया त्रितिया एहि तरे छठी कहला ला। एकर पिछे मानऽता बा कि दुर्गा मिया के जोन छठा रूप बाटे जेकरा वजह से छठियार होला। ओहि दिन लइका यानि कि जमतुआ लइका लोग के नाम रखल जाला।
125275fb-246a-4e8f-b3be-f51965eeac48,मुअला पे जे अपन लोग होला सगे सम्बन्धी चाहे पास पड़ोसी के जे भी करीबी लोग रहेला उ सब लोग के बुलावल जाला। मुअला के करम करिया घर के बड़ बेटा चाहे बेटी निभावेला। एहमे आपने लोग जेसे के बच्चा के फुआ चाचा मामा मौसी नानी नाना। चाहे और संबन्ध के माने तनि लगिचे के लोग के बुलावल जाला।
0cb53488-b95d-4824-b34d-a27f25ecc9a5,केहुके मुअला पे पइसा लत्ता के जुगाड़ उ मुअल आदमी के घर के लोग करेला। इ दिन पहिले लोग छठी पुजा करेला। ओकरा बाद मे नाम रखे के काम सुरु कइल जाला। एमे पण्डीत जी आवेलन ओरी गरह नछतर देखेला के बाद मे नाम रखल जाय ला।
e38502da-31e8-4196-a604-d676f8f3ff52,हमार बिरादरी मे सबसे पहिले सगुन फिर होला तिलक कथा मटकोर हरदि के रसम मातरी पुजा नोहछुर परछावन तऽ बरात। इहॆ सब कइल जाला। बियाह खातिर पण्डाल माडो पुजा के समान फूल माला आगी मने फेरा ला पण्डि जी रहेलन इहे सब के जरूरत होला।
00179870-a499-4c37-890d-2b8a9f42a833,मुअल आदमी के नहववला धोअवला के बादे नया कपड़ा पेहना के पचाती पर सुता देवल जाला। एहि तरे मुअला पे किरिया करम के सुरुआत होला। इ कुल बेवस्था के खर्चा लइका के जमला से लेके नाम धरे के दिन ले। इ सब खर्चा लइका के बाप उठावेला।
f4a802cb-b5bc-47bd-8329-b0f5287dab51,बियाह के खर्चा दुनु पक्श के लोग आपन आपन उठावेला लोग। पहिले दहेज के चलन जब रहे नू तऽ ओमे लइकि पक्श के लोग बेसी कर के खर्चा उठावत रहे लोग। इ सब ला पहिले कइसन लइका ओरी लइकि चाहीं उ सोचल जाला। फिेर जौना जगेह बियाह करे के बाटे उंहा के गोत जनम पतरी कुण्डली के मिलान कइल के बादे आगे बढ़ल जाला। ओर इ कहल जा सकऽताकि ए हि तरे लइका चाहे लइकी खोजल जाला।
d58a94e9-9e5c-4cd4-8d07-30b3b4185c40,बियाह पण्डी जी करावेलन। उ दिन खाय मे सादा खाना बेसी ना बनेला। जादे करके मछरी भात चलेला। बियाह मे आपन सगा संबन्धी मित्र आस पडोसी अ जेतना लोग के जानत रहे ला लोग उ सब के बुलावल जाला। लइका के जमला से लेके नाम रखे तक ले सब निमन घड़ी मे होला। काहे कि पण्डी जी से समय दिखाये के होला के कौन घड़ी मे लइका के नाम रखल जाई। अ इ सब घरे पे होला।
5f38fcc4-0c1f-482a-993d-5a1b6c5b3f00,लइका के नाम पण्डी जी पोथी पतरी गरह नछतर इ सब देखला के बाद कोनो नाम कहेलन कि इ रखल जाये। अ बाद मे माता पिता के कहला के बाद एगो नाम तय होला। ओरी जानकारी मे बियाह के बात बहोभोज होला। इ लइका के घरे होला जे मे सगा संबन्धी मित्र पडो़सी लइकी के घर के लोग इस कुल लोग आवेला। जेमे लइकी के मू दिखाई भी होला अउरी लोग अपना मन से कुछू कुछू उपहार मे दे देवेला।
73dd9f55-6acc-479e-831a-0d6bebd549c4,बड़ी संजो के रखल जाला लइका के। एकरा माने इ बइल के घर के दुआर पे धूप बत्ति हरमेशा जलत रहेला एतना दिन। लइका के नहवावन घर अइलक पे होला माने के तीन दिन जनला पे। ए समय मे घर से लइका के बहरा लेजावल मे मनाहि रहेला। बियाह मे पण्डाल लागल रहेला ओहि मे सब लोगन के बइठावल जाला।
58a2f72e-3525-4418-968d-b6ff61218f1e,बियाह के करमठ के सुरुआत सगुन उठला के साथे होला। लइका लइकि खोजे खातिर। माई बाप चाहे जे घर के जेठ सरदार बाटे उहे लोग जिमवार होला। मुअला पर लोग दक्शिन दिसा मे बइठेलन। बियाह होये के बाद खाये पिये कऽ बेवस्था बहुत बड़ा होला जेमन पुड़ी सबजी अउर भात दाल कोफता अउर मिठाई अउर बहुत तरह का खाय का समान होला। अउर एके परोसे खातिर कुर्सी टेबल का भी बेवस्था होला चाहे त टाट पर बइठावल जाला चाहे त बम्फर सिसटम होला।
d39947bf-dab2-4fce-8e26-a96766e3c1ac,नाही हमरा बिरादरी मे बियाह के पहिले लइका लइकी नही मिल सकेलन। मु्अला पर करम किरिया जे मरल बा ओकर लइका निभावेला। उ चाहे सबसे छोट हो सकला चाहे सबसे बड़ हो सकला। लेकिन मंझिला लड़का किरिया करम नहि निभावेला।
07a47c27-9a22-4782-8ab1-a471a4fec83e,बियाह खातिर बहुत सारा समान का जरूरत होला जइसे कि ओमन माड़ो बनावा बदे बांस के जरुरत होला। अउर ओखरी क जाता क चकरी क अउर सूप क जरुरत होला। ओमन हर का भी जरुरत होला जेमन कि माड़ू बनावा बदे माड़ू के जौन बीच कऽ बांस होला ओमन हर बांधल जाला। अउर ओमन सुग्गा का जरुरत होला अउर पतलु से पांच बांस गाड़ के ओकर पतलु से ढ़ाकल जाला।
40b58fe7-731a-46e1-9017-5be4fc907074,मुअला पर किरिया करम के भोज मे सब चिज जइसे सबजी भा सबजी दाल रोटी पापड़ खीर खियावल जाला लेकिन भात नहि खियावल जाला मु्अले के भोज मे। हमरा बिरादरी मे बियाह खातिर लइका चाहे लइकी एक अगुआ अ अगुआ के द्वारा खोजल जाला। उ अइसन बेक्ती होला जे उ लइका या लइकी के बारे मे जानऽला अउर हमरा परिवार के आके बतावेला उ लइका ठीक हऽ अउर उ लइकी ठीक हऽ।
76c2a48e-de3f-45c0-bd40-941739bbaf30,हमरा बिरादरी मे लोगन के मुअले पर ओकर दाह संस्कार करल जाला और ओके घाटे लेजाके जरावल जाला। आउर ओकर अस्थी के नदि मे बहावल जाला। बियाह मे सबसे पहिले जब बरात आवेला तब बरातिन के बइठावल जाला। ओकरे बाद दुआर पुजा लगेला। आउर फिर बरमाला होला आउर ओकरे बाद लइकी लइका का सिंदूर दान होला। ओकरे बाद परछन और बिदाई होला। ओकरे बाद बहरियावल जाला।
22aba548-eac4-466f-b9bd-424d2370486f,लइका के जनमले के बाद ओकर ओकर छठ्ठी करल जाला केमन ओके नहवावल जाला। हमरा बिरादरी मे बियाह चाहे तऽ दिने कऽ भी होसकऽला चाहे तऽ राती कऽ भी होसकऽला। लइका के जनमला से लेके नाम रखे तक इ कुल काम लइका जहां जनम लेला उहां पर होला।
87043c63-f2d6-47e1-9c65-fa2d27a6cf4a,लइका के जनमला से लेके ओकर नाम रखऽ तक के जेहि सब जानकारी बा कि ओमन नाउन अउर पणडी जी अउर ओकर माई बाउ ओकर फुआ ओकर आजी ओकर आजा इ सब जने बहुत जरुरी होवेलन। अउर ओकर खर्चा भी बहुत रहला।
af2a5bdc-37dd-407d-8b84-9223eb0ade6f,मुअला पर लास के नदि के किनारे घाटे पर जरावल जाला अउर वहीं पर ओके ओकर अस्थी के बहावल जाला। लइका के जनमले के बाद ओकर नाम रखे के दिना बहुत सारे समान का जरुरत पड़ऽला। जेमन कि पुजा का सब समान जइसे दिया बत्ती घीउ अउर तेल अगरबत्ती इ सब चीज के जरुरत पड़ऽला अउर सहद का भी जरुरत पड़ऽला।
7f8c1eb8-8975-4146-b435-d997a5aa985f,हमरा बिरादरी मे बियाह खातिर पहिले तिलक होला फिर बरच्छा होला आउर पिर रोका होला आउर फिर बियाह होला। लइका के नाम धरवावे वाले दिन बहुत सारे रिती निभावल जाला जेमन कि ओके सहद अउर सहद अउर गुड़ ई सब चटावल जाला। । ओकरे बाद पणडी जी आवेलन अउर बहुत अलग अलग रिती से ओकर नाम रखऽ लन।
4e92438c-e275-4c1c-acf2-e7ce6090ceb0,बियाह का खर्चा आउर ओकर बेवस्था का कुल जिमा मलिकार उठावऽलन। जादा तर एमन लड़का का बाउ होलन। मुअला पर किरिया करम के सुरुआत पहिले लास के नहवा के ओके घीउ पोत के ओके बांस के एक सीढ़ी पर बांध के घाट पे लेके जाय्ल जाला। और वहां पर ओके फुकल जाला और ओकरे बाद ओकर अस्थी के नदि मे बहावल जाला।
705c607d-b1e0-4432-8e44-4c2d7cb21db8,हमरा बिरादरी मे सबसे पहिले बरच्छा होला जेमन लइकी कऽ बाउ लइका के बाउ के कुछ पइसा या कोनो सोना चानी का समान देलन। जेसे कि ओ जेसे कि इ रहला कि ओ लइका पसंद होगइल बा। ओकरे बाद तिलक होला जेमन कि पइसा अउर भेंट देवल जाला अउर तय करल जाला कि बियाह कब होई कौने दिन होई दिन बारी रखल जाला ओकरे बाद बियाह होला।
4b537420-4d0d-43b2-82a2-bbe830efa39f,केहुके मु्अले के बाद जे मलिकार हऽ उ पइसा लत्ता के जुगार करऽला। मुअला के किरिया करम के बारे मे हमरे पास बस इतने जानकारी बा। बियाह मे करमठ का सुरुआत दुआर पुजा से होला जेमन दुल्हा के दुआरी पर बइठा कर ओकर ओकर चरण पुजन करल जाला।
f8b8a8f1-7619-4ac4-8de0-170560a1bd5d,मुअला पर बहुत परकार के किरिया करम कइल जाला जेमन सतवां दसवां अउर तेरहवीं होला जेमन कि सतन्हना के दिना सब जने नहा के पानी चढ़ावेलन। ओर दसवां के दिना सब लोगन बार कटवावेलन। और तेरहवीं के दिना एक भोज देवल जाला जेमन कि पुड़ी सबजी खीर बनऽला और लोगन के खियावल जाला परसाद सरूप।
bae92d29-0a64-41eb-a5c5-3cf5d1f0e92e,हमरे बिरादरी मे लइका के जनमले पर छठ्ठी बरही होला। जउना दिना लइका का नाम धराला ओ दिना खाये पिया का बहुत बढ़ीया बेवस्था होला। जेमन खाये के लिये सबजी पुड़ी बखीर अउर भात पुड़ी इ सब होला मिठाई भी होला। लइका लइकी खोजे खातिर जादा जिम्मेवार अगुआ होला।
30cb8ac8-0870-4813-a77d-790f3be88e7a,लइका का जनमले के बाद जौन दिन दिन रखल जाला उमन अगर लइका का जनम ओकरे माई के घर पे भइल बा तब ओकरे बाउ के घरे से सब जनऽ के जेसे के ओकरे आजी के ओकरे बुआ के ओकरे सारे परिवार के लोगन के बुलावल जाला।
e2f83bc3-2837-436d-90b7-3db02f717687,बियाह कऽ दिन पण्डी जी तय करऽलन जेमन ओ लगन रखऽलन। अउर ओही हिसाब से दिन बारी तय होला। बियाह मे पुरा परिवार के सग संबन्धी के बुलावल जाला। जेमन बुआ नानी अउर बड़की फुआ छोटकी फुआ मौसा मौसी फुफा इन सभी के बुलावल जाला।
237018a8-1836-45f2-a3fd-2a833dfeb2d1,लइका का नाम धरऽ बदे पण्डी जी आवऽलन अउर ओमन कुछ हिस्सेदारी ओकरे फुआ के भी रहला। लरका के जनमला से लेके नाम धरे तक के दिन तक के खर्चा अगर उ लइका ओकरे मम्मी के नइहरे भइल बा तऽ ओकरे नइहरे का लोग उठावेलन। नाही त अगर ओकरे बाउ के यहन भइल बा त ओकरे बाउ कऽ परिवार का सब जने खर्चा उठावलन।
b3d20343-b86b-4901-881c-28e9e70d3331,मउअला पर परिवार के सगे संबन्धी सम्धियोना के बुलावल जाला। आउर सबके तेरहवीं मे सामिल करल जाला। किरिया मे बहुत सारा समान लगेला जेमन लकड़ी बांस आउर कफन घीउ अउर ्गरबत्ती अउर बहुत सारा समान ओमन लगेला। बियाह सऽ लइका का ससुर अउर लइका का बाप अउर पण्डी जी करावेलन अउर नाउन भी होलन ओमन।
45cd5925-9618-419d-9505-891d22bc050c,लइका के जनमला अउर ओकर नाम धरावे के दिन नाउन अउर पण्डी जी अउर ओकर फुआ सब लोग आवेला अउर उन्हीं लोग नाम धरावेलन। लइका का जनमले का दिल दिन अस्पताले मे तय करल जाला अउर ओकर नाम रखे का दिन पणडी जी से तय करवावल जाला।
607801f9-e390-4bed-82ad-bcd93921b019,लइका के नाम रखवावे के दिन लोग एक जगह पर सारे लोग इक्ठ्ठा होलन। अउर सब लोगन के पुरब दिसा के तरफ बइठावल जाला। बियाह मे लोगन के दरी पर या फिर टाट पर बइठावल जाला। मुअला के कृया करम मे तेरही तक के कृया करम तऽ होबे करेला। लेकिन ओकरे बाद भी बहुत साल बाद भी जौन हऽ लोग गया बिहार मे एक जगह हऽ उहां पिण्ड परावे जायनऽ। तऽ इ भी एक परंपरा हऽ जौन मृत्यु से हि जुड़ल हऽ।
d0c1944c-e430-4f62-8a20-46982e70f979,एकर जानकारी नाही हऽ। एकर भी हमके जानकारी नाहि हऽ। लड़का के जमला कऽ काम तऽ डौक्टर करेनऽ। और नाम धरावे के काम पण्डी जी करेनऽ। मुअले पर लोगन के जानकारी देदेवल जाला आपने आस पास पड़ोस के लोग अपने रिस्तेदार। तऽ जेकर मन होला उ आजयला। और ओकरे बाद जौन हऽ तेरहीं होला। तऽ भोज कराये के परंपरा हऽ तऽ ओ दिन वहि रेस्तेदार और गांव के लोगन के जितना भी आप पास पड़ोस के लोग हुअन उन लोग के बुलावल जाला।
c8b18211-615e-495f-83ed-b93eda93d96a,जानकारी नाहि हऽ। एकर जानकारी हमके ना हऽ। एकरे बदे हम बस एतने कह सकत हइ की पण्डी जी से मिल के तिथी देखल जाला कि कौने कौने दिन लगन हऽ। उ जब पता चल गइल कि भाई ए दिन ए ए तारिक के लगन हऽ तऽ फिर ओमन से एक तिथी पसंद करके। लड़का और लड़की दोनो परिवार के सुविधा अनुसार फिक्स करल जाला तय करल जाला कि यहि तिथी रहि। और फिर औहि तिथी के सादी कऽ तइयारी होला।
25fe26a8-990b-47c8-be4c-80ca7645601c,इ अपने स्रध्धा के उपर हऽ कि कौने तरीके से खाये पिये के बेव्सथा करल जात हऽ। का प्रसादी टाइप के खाना हऽ या फिर पुरा एकदम खाना खियावल जात हऽ। अगर पुरा खाना खिआए के बेव्सथा करल जात हऽ तऽ हमरे तरफ पूरी सबसजी धाल चावल बिनिया पापड़ दही अगर ओइसन सीजन हऽ तऽ चटनी मीठी वाली इहे सब चीज के बेव्सथा करल जाला अउर सलाद।
f5ef0f45-7261-48a7-80b8-797373ccdd9e,बियाह कऽ दिन अऽ समय पंचाग के अनुसार जो हिंदू कैलेंडर जेके कहल जाला ओकरे अनुसार ही तय होला। और आज कल जादातर सादी संध्या बेला के बाद कऽ रखल जाला। कुछ सादी अइसन भी हइन जेके की दिन कऽ सादी कहल जाला उ दिने दिने होके खतम होजाला सादी।
7732e7b2-2601-4003-8388-87a2884cc423,बनारस के गंगा घाट के किनारे चाहे मणिकर्णिका घाट पर चाहे हरीशचंद्र घाट पर शरीर के लेजावल जाला। और एक परंपरा हऽ पहिले गंगा जी मे मृतक शरीर के छुआवे कऽ। उहां थोरा सा कुछ होला। फिर ओकरे बाद दाह संस्कार का परंपरा हऽ और शरीर के जला देवल जाला। फिर ओकरे बाद ओकर राख का थोरा सा परंपरा हऽ कि ओके लेके कलस मे लेके आवल जाला।
